words,links,capital_words,spam_word_count,is_spam
106,0,3,0,0
944,3,23,7,1
164,1,3,1,0
364,10,11,1,1
196,1,1,2,0
422,5,1,0,0
205,0,0,1,0
333,3,5,4,1
784,4,19,9,1
388,7,24,2,1
701,4,7,7,1
309,3,3,10,1
100,3,11,8,1
744,10,3,7,1
166,1,2,4,0
170,10,2,6,1
188,1,7,0,0
161,3,26,8,1
23,3,0,1,0
218,6,18,9,1
640,5,4,5,1
162,2,4,0,0
824,2,4,3,1
280,2,3,2,0
58,2,2,6,0
109,2,1,2,0
54,1,6,0,0
136,0,6,2,0
274,4,23,4,1
217,2,10,0,0
909,8,13,7,1
269,0,1,2,0
231,4,6,10,1
996,8,7,7,1
188,2,22,6,1
199,5,17,2,1
211,1,0,5,0
38,2,0,6,0
122,1,3,1,0
53,2,16,6,1
826,7,5,0,1
248,0,12,6,1
657,5,28,3,1
401,0,1,0,0
200,0,0,2,0
149,5,21,9,1
188,2,9,3,0
165,0,3,1,0
958,8,11,2,1
246,9,19,3,1
100,1,1,1,0
882,1,18,9,1
381,1,1,0,0
353,2,7,5,1
192,7,17,9,1
243,2,0,1,0
260,1,1,0,0
403,0,2,0,0
349,8,7,2,1
157,1,1,1,0
100,0,2,6,0
822,9,20,5,1
283,0,0,1,0
31,0,2,5,0
190,6,13,6,1
149,3,5,10,1
314,0,2,0,0
482,3,16,6,1
583,2,10,6,1
220,1,3,0,0
30,4,1,1,0
244,2,2,2,0
209,1,2,2,0
963,5,24,1,1
183,3,4,3,1
36,2,1,3,0
195,2,3,0,0
526,2,24,6,1
89,2,1,0,0
297,2,0,1,0
794,0,27,6,1
140,2,14,2,1
212,1,3,1,0
202,2,2,0,0
194,10,27,5,1
251,3,4,2,0
645,6,23,3,1
349,3,6,10,1
213,0,4,0,0
267,5,2,1,0
267,0,3,6,0
242,1,1,3,0
459,7,22,7,1
268,0,0,2,0
154,3,27,0,1
98,5,14,5,1
374,3,17,3,1
204,1,2,0,0
622,5,1,7,1
575,5,27,4,1
504,2,29,7,1
647,3,22,8,1
777,3,28,3,1
335,2,1,1,0
799,9,1,8,1
639,3,17,3,1
554,0,28,10,1
114,8,6,9,1
199,10,15,4,1
631,2,30,4,1
797,8,20,6,1
828,4,17,1,1
113,0,6,6,0
266,1,1,0,0
891,8,10,3,1
708,3,7,8,1
389,1,27,2,1
186,6,7,7,1
807,7,3,7,1
269,1,8,0,0
37,2,2,2,0
810,7,16,4,1
794,2,11,9,1
869,5,5,3,1
336,0,22,3,1
54,2,0,0,0
718,6,8,4,1
525,3,20,1,1
258,1,3,1,0
83,10,23,10,1
37,1,3,2,0
381,3,24,3,1
285,2,6,2,0
765,1,26,10,1
289,0,0,0,0
172,2,1,1,0
610,4,25,3,1
379,2,11,8,1
693,9,26,2,1
208,2,0,2,0
408,1,0,1,0
123,0,3,0,0
145,0,16,3,1
237,0,7,2,0
241,2,3,1,0
290,0,1,1,0
759,8,11,8,1
273,2,10,2,0
101,0,1,6,0
384,2,1,0,0
130,2,3,0,0
87,0,3,2,0
278,7,18,10,1
419,1,2,0,0
979,5,1,7,1
92,1,1,1,0
156,3,9,5,1
182,2,5,2,0
951,6,21,10,1
255,1,2,0,0
139,0,3,1,0
176,2,1,2,0
189,10,26,4,1
317,5,8,4,1
237,1,1,1,0
288,5,1,2,0
232,2,30,6,1
125,2,12,3,1
820,10,5,9,1
245,2,1,2,0
95,6,8,7,1
33,1,3,1,0
393,5,1,1,0
116,2,3,1,0
119,3,5,4,1
150,0,1,1,0
165,1,0,0,0
242,0,0,2,0
535,3,11,3,1
573,10,30,3,1
178,2,0,2,0
219,0,0,2,0
235,0,0,1,0
127,3,24,5,1
651,10,1,9,1
52,2,0,0,0
78,2,3,2,0
212,3,7,0,0
145,2,7,2,0
880,5,22,5,1
207,4,3,0,0
168,4,6,0,1
85,5,1,1,0
258,0,3,2,0
198,2,2,0,0
451,2,5,3,1
540,8,0,8,1
246,2,2,0,0
33,2,0,5,0
275,0,0,3,0
495,10,30,10,1
358,1,17,1,1
85,1,3,3,0
162,2,3,1,0
785,4,22,6,1
54,2,11,5,1
651,9,11,10,1
999,6,11,6,1
160,1,2,2,0
836,1,0,7,1
277,1,10,0,0
832,6,25,1,1
253,2,3,2,0
39,2,5,1,0
122,9,5,9,1
885,3,14,5,1
96,2,0,1,0
143,1,9,5,1
855,2,15,3,1
243,5,9,4,1
140,10,18,9,1
265,2,6,6,0
808,5,4,4,1
702,2,4,7,1
143,8,30,6,1
274,2,2,5,1
638,2,13,10,1
42,2,1,0,0
186,1,4,2,0
565,7,15,5,1
324,0,8,3,0
573,2,27,5,1
168,3,18,7,1
353,2,4,2,0
184,6,13,3,1
409,0,3,3,0
249,5,2,2,0
111,1,1,1,0
62,0,3,3,0
70,2,7,2,0
981,3,13,7,1
278,2,3,1,0
465,4,12,4,1
511,3,15,10,1
206,1,1,0,0
209,1,2,0,0
287,2,0,0,0
184,2,1,1,0
731,0,21,3,1
470,2,0,3,0
257,0,2,0,0
201,1,0,2,0
326,1,2,0,0
278,0,1,4,0
255,1,0,1,0
318,2,19,10,1
222,3,26,9,1
79,0,3,2,0
138,5,8,7,1
579,3,7,10,1
106,1,0,0,0
81,10,22,8,1
272,1,1,2,0
92,1,7,0,0
273,4,6,8,1
440,1,3,2,0
429,1,2,2,0
130,8,18,8,1
352,2,0,5,0
288,2,2,2,0
443,1,28,6,1
142,0,0,2,0
164,10,12,9,1
183,0,2,0,0
207,7,25,8,1
973,9,27,9,1
956,9,10,10,1
612,0,22,3,1
152,5,0,1,0
47,1,1,0,0
473,10,11,4,1
110,1,2,5,0
444,7,15,7,1
610,8,20,5,1
543,1,4,10,1
192,0,29,4,1
841,4,15,9,1
138,5,2,1,0
153,1,8,2,0
70,2,5,2,0
46,1,2,0,0
67,5,2,2,0
61,3,0,6,1
978,6,3,3,1
919,0,16,8,1
769,3,2,6,1
224,10,29,10,1
184,0,4,0,0
178,7,19,9,1
255,2,26,1,1
551,0,21,8,1
45,0,2,2,0
538,2,16,0,1
204,2,2,2,0
209,2,0,1,0
521,7,25,2,1
311,9,29,3,1
759,2,1,2,1
288,1,2,5,0
613,2,10,9,1
76,4,0,2,0
333,2,2,4,0
355,1,15,5,1
160,0,3,2,0
483,0,15,7,1
868,9,14,5,1
205,0,0,2,0
233,1,0,1,0
78,6,17,6,1
156,1,9,1,0
442,3,28,10,1
118,2,6,8,1
683,7,30,4,1
737,2,22,1,1
281,0,30,4,1
70,4,5,6,1
789,10,8,9,1
304,1,6,2,0
116,1,5,0,0
264,0,0,2,0
995,10,7,9,1
156,3,3,0,0
482,2,0,2,0
308,0,2,2,0
470,1,3,1,0
288,5,3,0,0
334,3,27,6,1
593,4,20,3,1
46,2,1,0,0
867,8,26,10,1
29,1,3,2,0
622,7,9,1,1
552,0,13,4,1
103,1,3,1,0
62,1,18,2,1
180,10,23,6,1
58,9,6,4,1
25,1,2,1,0
113,10,9,6,1
125,1,1,0,0
102,1,2,0,0
604,5,23,8,1
532,9,15,10,1
59,5,3,1,0
63,2,5,2,0
172,3,1,1,0
23,0,1,6,0
327,7,0,9,1
923,2,26,10,1
735,5,20,5,1
33,1,2,2,0
146,3,11,4,1
750,2,13,6,1
129,0,3,6,0
647,2,11,1,1
150,5,3,2,0
880,1,17,7,1
58,3,1,10,1
288,3,1,1,0
273,2,0,0,0
114,4,2,1,0
202,1,1,2,0
138,2,3,7,1
142,9,3,5,1
112,2,6,0,0
62,2,3,0,0
652,2,9,6,1
420,2,20,5,1
213,0,1,5,1
89,2,3,1,0
167,2,17,6,1
137,3,3,2,0
498,10,17,7,1
823,4,7,10,1
623,3,7,2,1
119,2,9,6,1
60,3,25,9,1
277,2,0,5,0
368,2,26,9,1
87,0,0,1,0
138,6,13,5,1
292,2,2,2,0
707,3,23,8,1
471,6,5,5,1
960,1,5,3,1
239,2,2,2,0
475,0,0,2,0
81,1,3,1,0
344,8,14,4,1
212,2,3,1,0
601,7,3,5,1
217,0,1,1,0
125,4,6,10,1
615,9,12,4,1
125,3,26,2,1
242,0,5,1,0
108,10,20,5,1
359,9,2,6,1
615,9,7,6,1
903,5,5,3,1
601,8,5,9,1
336,3,3,4,0
230,2,1,1,0
75,3,0,1,0
214,3,2,1,0
110,3,0,2,0
291,3,0,6,0
149,6,25,5,1
714,3,28,6,1
897,7,4,10,1
290,0,1,0,0
69,3,29,3,1
301,8,23,10,1
235,1,3,2,0
270,1,3,4,0
213,0,0,2,0
476,0,1,2,0
103,10,5,7,1
174,0,4,2,0
61,1,2,2,0
341,4,8,2,0
452,6,12,6,1
34,0,0,2,0
734,3,22,8,1
309,0,26,8,1
390,7,26,5,1
578,9,21,10,1
988,3,14,4,1
134,5,3,10,1
420,0,11,4,1
79,1,0,2,0
111,0,1,6,0
108,4,16,9,1
200,3,2,0,0
228,0,1,2,0
62,1,1,2,0
668,8,5,3,1
131,0,10,4,1
50,10,0,4,1
662,4,13,8,1
371,2,9,5,1
167,2,3,4,0
261,1,3,0,0
74,1,0,2,0
175,0,0,1,0
169,1,0,6,0
210,2,1,0,0
451,2,19,3,1
250,3,7,0,0
192,3,16,3,1
256,4,3,8,1
300,1,3,0,0
44,2,2,0,0
140,0,3,2,0
541,7,1,3,1
500,4,18,3,1
322,9,22,9,1
97,0,0,0,0
272,0,1,2,0
784,9,6,3,1
216,2,3,2,0
163,1,0,1,0
993,5,18,5,1
292,1,3,1,0
274,2,0,1,0
856,3,1,6,1
178,8,22,10,1
316,8,11,8,1
140,2,20,3,1
75,0,2,10,1
718,7,26,3,1
93,1,5,2,0
328,1,2,1,0
297,1,8,2,0
64,3,27,3,1
251,8,10,9,1
274,0,0,1,0
204,1,0,6,0
282,0,5,6,0
186,5,5,9,1
43,0,5,1,0
158,2,21,1,1
510,4,24,9,1
181,2,0,2,0
106,8,3,6,1
430,8,16,3,1
468,9,12,7,1
202,1,1,1,0
695,8,5,3,1
100,2,1,2,0
76,1,15,4,1
33,1,6,1,0
148,3,5,1,0
879,0,12,1,1
224,1,3,2,0
204,1,1,0,0
439,3,27,9,1
351,1,0,0,0
220,9,24,2,1
132,1,2,1,0
253,2,0,0,0
983,5,4,7,1
160,5,16,5,1
102,2,0,2,0
326,3,10,5,0
329,1,2,1,0
65,3,2,1,0
243,1,3,2,0
101,1,0,0,0
52,7,12,7,1
137,3,5,8,1
240,1,0,2,0
163,2,25,3,1
21,0,2,1,0
895,4,22,2,1
859,1,28,5,1
466,0,28,9,1
188,0,1,0,0
78,6,5,10,1
115,8,15,9,1
61,1,2,1,0
212,10,6,3,1
160,1,1,2,0
277,3,0,1,0
614,9,19,7,1
126,1,2,1,0
97,2,2,2,0
776,7,28,7,1
167,0,2,0,0
905,4,5,8,1
179,5,7,8,1
228,1,0,0,0
756,3,28,9,1
125,1,0,2,0
246,1,7,0,0
68,0,0,2,0
90,2,8,1,0
426,1,0,0,0
714,9,30,7,1
848,2,1,4,1
161,4,22,3,1
420,2,0,1,0
98,2,3,1,0
110,5,0,2,0
846,2,23,1,1
549,1,18,7,1
66,1,3,2,0
60,3,1,9,1
890,10,28,8,1
183,3,30,0,1
217,0,9,2,0
57,7,5,1,1
758,10,26,0,1
89,4,2,2,0
343,4,13,7,1
195,2,0,0,0
73,1,3,1,0
166,2,0,1,0
596,2,6,2,1
197,0,3,0,0
291,4,1,10,1
830,8,5,10,1
135,5,3,0,0
402,3,4,10,1
589,8,20,6,1
64,9,21,5,1
64,1,2,2,0
925,6,5,10,1
30,5,3,1,0
307,7,7,3,1
152,5,23,6,1
280,2,2,2,0
786,8,9,0,1
40,3,9,0,0
252,2,2,2,0
188,2,1,1,0
808,6,14,3,1
715,2,14,7,1
695,3,25,10,1
56,3,1,5,1
50,1,3,0,0
359,2,1,0,0
56,0,0,5,0
191,1,0,2,0
107,2,2,6,0
89,1,2,1,0
710,2,6,7,1
281,1,2,0,0
198,0,2,2,0
405,1,1,2,0
621,10,28,2,1
110,9,12,0,1
229,2,3,0,0
151,4,0,6,1
119,10,13,5,1
195,0,3,2,0
195,2,5,0,1
67,1,0,4,0
872,7,11,7,1
295,2,2,1,0
192,9,5,10,1
657,9,29,3,1
256,2,1,1,0
302,6,21,8,1
638,6,21,1,1
248,2,1,1,0
149,2,0,0,0
65,1,2,1,0
240,1,1,1,0
243,1,1,0,0
294,2,3,0,0
884,4,5,8,1
87,10,9,8,1
400,3,22,10,1
150,1,10,1,0
156,1,0,2,0
92,0,1,2,0
153,5,10,0,0
202,1,5,3,0
800,3,15,3,1
458,5,22,9,1
211,1,9,0,0
222,1,2,0,0
113,0,2,4,0
987,1,2,1,1
146,0,2,0,0
853,2,25,1,1
28,0,1,0,0
297,10,22,7,1
765,6,9,7,1
107,2,0,2,0
63,2,17,0,1
590,5,5,8,1
151,3,26,10,1
740,9,17,3,1
96,2,0,5,0
241,2,5,4,1
252,2,26,6,1
331,0,3,2,0
147,0,2,0,0
596,7,5,8,1
275,9,3,5,1
888,2,10,0,1
299,0,2,0,0
60,2,3,2,0
399,5,23,5,1
868,7,3,9,1
401,4,20,7,1
127,0,3,6,0
170,2,9,10,1
151,0,0,5,0
102,2,5,10,1
343,0,2,1,0
199,2,2,0,0
33,2,1,1,0
52,10,2,2,1
211,1,2,1,0
66,0,0,1,0
54,2,1,1,0
513,2,23,3,1
243,1,5,2,0
57,0,2,0,0
20,1,2,2,0
208,1,2,0,0
134,1,1,3,0
495,5,1,5,0
180,3,2,0,0
236,0,2,0,0
188,3,5,4,1
204,1,8,2,0
138,5,14,0,1
262,2,3,2,0
52,1,1,2,0
204,0,3,1,0
61,2,2,3,0
962,2,19,8,1
554,5,7,6,1
116,1,11,0,1
214,2,0,0,0
210,5,2,1,0
431,1,1,2,0
694,5,11,1,1
244,6,6,3,1
421,7,17,5,1
894,4,11,2,1
247,2,2,0,0
258,2,0,0,0
97,2,29,10,1
294,4,15,9,1
993,3,29,3,1
928,9,5,4,1
291,9,22,6,1
250,9,4,2,1
184,2,0,2,0
155,1,1,6,0
447,2,0,0,0
211,1,0,2,0
710,0,26,4,1
56,9,11,8,1
228,1,0,2,0
652,5,3,3,1
260,3,2,1,0
165,2,3,0,0
994,9,20,1,1
187,0,2,2,0
121,1,2,3,0
295,4,3,0,0
432,0,2,0,0
277,8,15,3,1
93,4,0,6,0
127,9,17,8,1
101,9,16,3,1
615,2,14,4,1
715,6,26,5,1
491,0,2,1,0
427,3,3,0,0
558,3,5,0,1
163,3,5,9,1
379,0,1,0,0
951,3,16,1,1
343,0,30,10,1
892,6,8,6,1
842,2,16,4,1
286,0,3,2,0
77,7,4,1,1
275,2,0,2,0
738,7,22,8,1
996,9,2,8,1
78,2,3,2,0
648,7,21,4,1
114,8,4,2,1
175,2,2,2,0
863,10,0,7,1
507,0,21,8,1
795,5,14,1,1
56,1,4,0,0
383,1,1,0,0
196,0,1,0,0
256,2,3,2,0
228,2,8,0,0
72,2,3,2,0
56,2,2,1,0
346,0,2,9,1
287,5,14,10,1
42,1,2,2,0
150,2,10,1,0
133,0,10,2,0
101,1,14,6,1
82,2,3,2,0
153,5,2,6,1
133,0,20,6,1
696,4,3,3,1
369,2,4,6,0
177,1,1,2,0
706,6,7,4,1
268,0,2,2,0
178,1,1,1,0
173,2,1,1,0
26,1,2,1,0
21,1,7,3,0
207,0,9,1,0
65,7,28,10,1
25,4,0,5,0
430,7,5,9,1
138,0,10,9,1
943,10,7,7,1
958,2,19,4,1
79,4,25,6,1
602,10,16,6,1
66,1,1,1,0
472,9,20,1,1
237,2,2,1,0
123,3,4,7,1
259,8,21,9,1
458,9,16,5,1
545,5,23,10,1
567,1,16,4,1
71,2,8,2,0
288,10,21,3,1
170,2,9,2,0
111,0,3,3,0
405,10,14,5,1
78,1,1,2,0
130,1,3,2,0
133,0,1,0,0
240,5,19,9,1
637,8,26,10,1
242,2,2,1,0
297,2,1,2,0
278,2,3,0,0
193,1,1,1,0
50,2,6,8,1
344,0,3,1,0
481,10,22,6,1
274,1,3,1,0
630,6,22,4,1
827,1,26,10,1
823,5,9,9,1
78,9,29,9,1
656,7,29,5,1
158,0,0,5,0
681,7,22,1,1
90,2,21,6,1
127,2,0,4,0
364,1,1,1,0
240,0,2,0,0
177,2,3,1,0
73,2,4,1,0
159,2,6,8,1
35,5,1,1,0
137,0,3,1,0
714,4,20,9,1
577,6,1,5,1
82,5,21,0,1
206,0,0,0,0
341,4,27,3,1
146,0,1,2,0
101,4,0,5,1
169,0,4,1,0
830,5,29,5,1
107,2,0,2,0
176,0,1,1,0
188,1,1,1,0
32,1,2,0,0
371,0,4,6,1
202,0,3,2,0
221,0,6,1,0
198,6,19,1,1
438,2,3,2,0
143,6,20,3,1
184,2,10,2,0
400,0,10,0,0
653,6,21,2,1
100,5,3,2,0
25,0,2,0,0
499,4,0,1,1
99,2,3,3,0
134,2,1,2,0
959,2,30,3,1
51,1,2,0,0
949,8,19,9,1
514,2,11,3,1
330,1,3,3,1
221,7,1,6,1
429,4,21,9,1
866,3,15,3,1
275,0,9,1,0
277,1,6,4,1
275,10,28,3,1
107,6,24,0,1
891,8,5,2,1
124,1,1,2,0
195,2,1,1,0
185,4,26,2,1
223,1,0,5,0
493,9,6,9,1
618,6,20,10,1
493,3,1,4,0
168,2,1,4,0
166,2,7,1,0
239,1,8,1,0
62,1,1,0,0
268,0,1,0,0
997,6,6,7,1
223,1,6,3,0
21,0,1,1,0
405,0,5,2,1
810,6,15,4,1
71,1,2,2,0
559,4,19,4,1
45,2,3,2,0
333,1,5,10,1
860,6,26,8,1
632,0,24,4,1
31,0,8,4,0
221,0,2,1,0
196,10,1,8,1
214,5,29,4,1
637,4,7,9,1
375,2,0,0,0
395,5,3,10,1
183,2,0,1,0
887,10,16,3,1
121,7,5,8,1
106,0,1,3,0
732,4,11,1,1
136,2,0,5,0
260,1,2,2,0
249,0,3,2,0
349,10,25,6,1
168,4,2,1,0
221,1,5,2,0
495,6,4,9,1
225,2,1,2,0
206,4,20,6,1
529,5,9,7,1
581,4,0,1,1
121,5,3,0,0
169,9,12,8,1
106,3,3,1,0
407,10,10,3,1
240,0,2,1,0
161,8,26,9,1
210,3,5,9,1
49,2,3,2,0
126,2,0,2,0
196,1,0,6,0
193,7,18,1,1
816,0,20,7,1
93,9,22,1,1
804,10,15,3,1
122,2,2,2,0
243,1,3,0,0
927,8,9,9,1
798,5,12,7,1
696,6,28,8,1
58,4,3,2,0
363,8,9,9,1
119,0,2,0,0
816,9,12,5,1
521,4,14,8,1
64,1,4,2,0
140,10,21,9,1
155,9,30,1,1
688,8,6,1,1
533,1,30,5,1
130,6,23,4,1
849,1,10,0,1
255,4,1,4,0
472,2,1,2,0
659,2,27,3,1
283,3,11,9,1
134,9,11,1,1
89,5,15,9,1
74,2,3,4,0
618,4,1,6,1
393,7,20,4,1
264,2,1,0,0
321,6,23,8,1
123,0,0,2,0
218,1,3,3,0
106,8,17,3,1
167,2,0,1,0
237,3,0,6,0
283,4,2,2,0
452,3,14,4,1
349,7,4,1,1
214,2,3,0,0
394,8,27,9,1
310,0,2,8,1
678,9,14,8,1
91,5,4,4,1
80,3,1,6,0
62,0,3,2,0
406,0,1,0,0
124,2,29,5,1
115,4,10,0,0
160,1,3,0,0
62,10,1,9,1
86,0,0,1,0
241,0,9,4,0
456,5,13,2,1
279,2,2,5,0
72,2,1,2,0
171,4,1,6,1
106,7,8,3,1
214,0,3,1,0
141,1,2,1,0
178,0,1,0,0
83,2,0,0,0
247,1,2,2,0
68,1,1,1,0
127,2,30,4,1
241,5,26,3,1
311,2,23,9,1
912,2,3,5,1
1000,0,30,6,1
136,6,18,4,1
824,2,20,4,1
750,7,4,10,1
186,2,2,2,0
157,2,16,10,1
259,3,3,2,0
149,3,30,2,1
281,1,1,0,0
305,2,6,10,1
189,2,2,2,0
867,1,3,4,1
482,6,10,4,1
200,1,1,1,0
122,1,1,1,0
250,2,3,6,0
530,10,21,7,1
160,2,2,0,0
287,1,3,1,0
124,9,7,6,1
195,7,17,5,1
199,2,0,4,1
174,4,14,8,1
637,3,30,1,1
289,0,1,1,0
145,1,3,0,0
326,1,0,1,0
251,3,27,6,1
758,7,28,0,1
170,2,1,2,0
865,2,27,7,1
531,0,6,3,1
52,3,0,2,0
421,10,9,3,1
109,1,1,0,0
61,8,7,4,1
112,1,0,6,0
119,0,3,1,0
220,2,0,1,0
357,9,16,1,1
47,3,1,5,0
119,5,23,1,1
358,0,21,6,1
337,0,3,2,0
231,9,22,5,1
273,2,2,5,0
131,5,10,2,1
630,8,27,5,1
183,5,23,0,1
386,0,0,1,0
130,0,1,2,0
368,1,13,4,1
145,1,5,5,0
115,6,4,3,1
157,2,2,8,1
333,10,0,0,1
282,1,1,1,0
238,2,2,5,0
261,2,2,2,0
988,8,16,2,1
206,1,1,2,0
212,3,19,7,1
31,0,3,1,0
103,4,0,2,0
262,0,3,1,0
254,1,1,0,0
219,1,3,1,0
233,5,0,0,0
261,10,27,6,1
721,3,5,0,1
888,7,9,8,1
214,1,2,1,0
82,5,30,8,1
114,0,2,0,0
127,2,5,2,0
404,5,10,1,1
83,1,2,1,0
652,8,3,6,1
142,4,0,0,0
198,7,22,8,1
200,2,2,0,0
829,1,6,6,1
60,4,0,0,0
640,2,29,7,1
180,5,7,10,1
986,5,27,5,1
166,0,0,2,0
180,5,10,0,0
250,10,29,5,1
132,3,9,9,1
191,6,19,8,1
383,8,0,0,1
944,7,0,4,1
257,1,1,2,0
587,6,1,10,1
108,6,9,2,1
415,2,3,1,0
992,2,7,1,1
211,4,1,0,0
519,6,5,10,1
215,1,1,0,0
366,2,1,1,0
181,2,3,1,0
997,4,30,3,1
189,2,26,1,1
394,9,3,8,1
279,2,0,2,0
726,2,22,4,1
742,6,23,6,1
131,8,10,3,1
150,2,3,1,0
132,0,1,0,0
197,3,3,2,0
94,9,7,1,1
189,0,2,0,0
92,2,5,1,1
101,1,2,2,0
176,0,3,0,0
84,3,7,2,0
160,9,0,3,1
417,5,13,8,1
120,0,17,6,1
816,2,1,2,1
127,2,15,7,1
220,4,3,1,0
179,2,29,6,1
876,7,0,8,1
281,1,4,6,0
369,6,9,8,1
173,2,3,0,0
454,9,27,9,1
917,6,2,3,1
198,5,27,0,1
113,3,3,1,0
314,9,7,4,1
181,7,30,6,1
224,5,3,1,0
170,5,1,0,0
223,0,6,0,0
955,8,16,10,1
103,0,1,0,0
263,0,2,2,0
218,1,3,2,0
790,9,13,1,1
220,5,3,1,0
158,2,8,3,1
652,10,12,6,1
202,1,3,0,0
242,1,1,2,0
485,1,0,2,0
136,4,1,2,0
85,9,7,3,1
286,1,7,4,0
242,2,3,5,0
461,1,2,0,0
197,0,2,0,0
173,10,22,8,1
258,2,1,4,1
76,3,5,9,1
119,9,9,10,1
504,3,0,10,1
879,5,7,8,1
179,4,13,10,1
78,8,17,2,1
644,8,15,4,1
354,5,6,4,1
168,1,2,0,0
63,2,3,2,0
990,3,24,7,1
768,5,18,3,1
81,10,0,8,1
469,0,10,3,1
149,1,3,2,0
350,6,3,5,1
814,7,7,7,1
164,2,0,8,1
995,2,16,7,1
305,1,5,7,1
69,1,1,2,0
910,8,4,1,1
237,0,6,0,0
96,1,0,0,0
67,7,22,9,1
616,2,13,6,1
547,1,14,3,1
252,0,2,4,0
571,10,16,4,1
30,2,1,0,0
720,0,30,3,1
29,0,2,0,0
625,3,2,10,1
134,9,2,8,1
460,3,15,4,1
289,0,2,3,0
69,7,27,6,1
297,2,0,2,0
142,5,4,10,1
281,2,7,2,0
736,2,25,5,1
150,1,1,0,0
35,0,1,1,0
37,1,9,1,0
59,0,2,1,0
203,7,28,3,1
124,2,0,2,0
865,2,14,4,1
872,7,1,10,1
911,0,5,8,1
616,3,8,7,1
531,3,25,3,1
237,1,9,2,0
497,3,5,7,1
405,5,4,9,1
200,1,0,0,0
895,2,23,2,1
338,0,0,0,0
505,10,3,6,1
45,2,3,4,0
745,10,18,6,1
611,4,22,4,1
694,7,25,10,1
269,1,3,3,0
170,2,16,5,1
192,1,0,2,0
218,2,3,1,0
200,2,3,0,0
301,10,30,3,1
909,7,5,2,1
190,1,1,1,0
294,1,0,1,0
306,2,7,0,0
200,0,0,2,0
923,6,19,9,1
859,8,15,0,1
632,8,28,8,1
480,4,28,9,1
77,5,2,1,0
282,2,1,0,0
327,9,11,9,1
972,7,13,5,1
775,10,1,3,1
797,9,9,6,1
194,8,5,8,1
115,1,3,1,0
210,3,5,0,0
431,6,15,9,1
162,9,21,4,1
507,3,3,10,1
88,5,3,5,0
110,4,29,8,1
277,1,5,2,0
755,10,26,5,1
99,10,8,7,1
103,1,2,1,0
337,3,9,7,1
322,4,7,1,1
83,4,2,0,0
878,7,25,3,1
321,9,11,6,1
55,2,10,5,0
243,10,23,7,1
165,1,1,1,0
195,10,25,3,1
262,1,2,0,0
395,10,13,3,1
118,1,3,0,0
646,4,25,9,1
193,6,1,8,1
470,3,22,10,1
261,1,3,0,0
20,1,3,0,0
572,0,5,5,1
285,0,3,1,0
426,1,3,1,0
64,9,24,2,1
300,1,1,5,0
30,0,1,1,0
337,1,4,3,1
68,1,1,6,0
207,0,0,2,0
219,1,2,2,0
105,1,2,1,0
343,5,5,0,0
132,2,5,6,0
169,0,2,3,0
259,7,0,5,1
67,1,3,1,0
474,7,27,5,1
304,3,25,8,1
125,2,3,6,0
237,6,0,5,1
381,5,3,2,0
409,2,15,3,1
333,7,14,7,1
224,2,3,2,0
423,1,0,0,0
613,6,5,9,1
54,4,3,1,0
137,2,0,6,1
181,8,6,6,1
610,8,18,3,1
138,2,11,3,1
27,1,6,2,0
